,Assists,Rebounds,Field Goals Attempted,Field Goal Percentage,Turnovers,Free Throws Attempted,Free Throw Percentage,Offensive Rating,Home or Away,Overtime,Points
0,25,40,94,0.426,19,18,0.722,63.0,0,1,99
1,19,40,86,0.442,14,25,0.88,79.0,0,0,103
2,21,36,72,0.583,20,24,0.667,126.0,1,1,103
3,13,46,80,0.388,19,35,0.8,112.0,1,1,95
4,11,49,86,0.395,10,17,0.706,99.0,0,1,86
5,20,45,94,0.415,13,20,0.9,153.0,1,1,106
6,29,54,92,0.5,11,20,0.8,186.0,1,1,118
7,16,46,87,0.437,15,19,0.789,91.0,1,1,94
8,19,49,91,0.418,12,18,0.833,110.0,0,1,95
9,18,40,91,0.418,11,25,0.72,101.0,0,1,102
10,26,37,81,0.543,15,18,0.889,126.0,1,1,119
11,22,38,88,0.477,10,22,0.727,120.0,1,1,111
12,25,45,91,0.407,11,34,0.647,151.0,1,1,106
13,26,37,88,0.455,11,10,0.8,115.0,0,1,94
14,21,40,88,0.477,12,14,0.714,125.0,1,1,100
15,22,49,85,0.412,23,26,0.808,60.0,1,0,101
16,25,48,98,0.449,11,26,0.654,97.0,0,0,115
17,25,43,81,0.506,18,18,0.889,121.0,0,1,105
18,26,35,92,0.489,10,18,0.778,167.0,0,1,118
19,20,42,93,0.473,10,24,0.708,135.0,1,1,116
20,21,35,78,0.449,18,17,0.941,83.0,1,1,92
21,29,40,88,0.455,9,28,0.786,106.0,1,1,110
22,17,37,84,0.464,14,22,0.818,103.0,0,1,101
23,27,41,87,0.517,14,17,0.824,113.0,1,1,109
24,30,36,77,0.571,5,27,0.815,142.0,1,1,122
25,24,33,81,0.531,15,30,0.7,96.0,1,1,117
26,19,49,88,0.432,15,26,0.808,115.0,0,1,105
27,23,44,82,0.524,10,25,0.72,85.0,0,1,107
28,24,30,79,0.468,14,18,0.833,99.0,0,1,96
29,29,40,79,0.506,16,20,0.75,98.0,1,1,107
30,21,54,78,0.487,18,37,0.73,126.0,1,1,111
31,28,44,83,0.566,19,14,0.929,115.0,1,1,118
32,23,45,87,0.437,17,12,0.75,98.0,0,1,91
33,27,38,92,0.446,9,14,0.857,116.0,0,1,105
34,31,33,79,0.582,13,9,0.889,128.0,1,1,112
35,23,49,84,0.488,19,18,0.833,138.0,0,1,107
36,24,42,83,0.506,21,9,0.667,96.0,1,1,101
37,28,44,105,0.429,7,12,0.667,79.0,0,1,108
38,18,50,91,0.484,11,18,0.722,95.0,1,1,109
39,26,51,86,0.488,12,25,0.92,175.0,1,1,120
40,27,45,80,0.45,11,26,0.923,121.0,1,1,104
41,29,40,88,0.5,15,14,0.857,66.0,0,1,113
42,23,47,91,0.429,11,33,0.788,106.0,0,1,112
43,22,47,80,0.538,14,17,0.765,134.0,0,1,109
44,21,42,83,0.578,15,21,0.857,116.0,1,1,123
45,26,52,89,0.483,18,19,0.684,176.0,0,1,112
46,28,45,89,0.506,10,10,0.7,118.0,0,1,107
47,27,46,88,0.557,12,15,0.8,140.0,1,1,117
48,27,45,96,0.458,10,21,0.762,126.0,1,1,116
49,20,46,83,0.458,12,22,0.864,112.0,1,1,105
50,29,43,99,0.505,12,26,0.885,157.0,1,0,135
51,21,54,97,0.412,12,33,0.758,99.0,0,0,114
52,29,46,88,0.466,11,30,0.667,108.0,1,1,112
53,27,40,73,0.575,22,28,0.821,144.0,1,1,120
54,23,39,83,0.518,10,15,0.667,102.0,0,1,111
55,19,43,90,0.422,16,40,0.775,136.0,0,1,112
56,21,28,87,0.425,16,13,0.769,77.0,1,1,92
57,29,46,91,0.451,19,20,0.9,97.0,1,1,112
58,32,44,84,0.476,12,19,0.842,105.0,0,1,105
59,23,45,92,0.37,11,32,0.875,119.0,1,1,106
60,26,38,81,0.481,12,25,0.92,141.0,1,1,115
61,19,44,90,0.456,11,53,0.792,110.0,0,1,131
62,31,43,88,0.568,11,19,0.632,131.0,0,1,123
63,29,52,104,0.5,9,19,0.895,139.0,0,0,130
64,27,46,90,0.522,11,28,0.679,127.0,0,0,125
65,15,38,84,0.429,15,31,0.806,106.0,0,1,104
66,30,42,82,0.488,12,21,0.714,106.0,1,1,107
67,34,40,101,0.455,10,12,0.833,108.0,1,1,112
68,21,44,79,0.367,12,31,0.774,98.0,0,1,93
69,24,39,86,0.43,18,26,0.769,101.0,0,1,102
70,23,54,95,0.4,19,23,0.739,113.0,1,1,104
71,29,46,97,0.505,10,22,0.955,141.0,1,1,129
72,24,40,82,0.598,11,26,0.808,134.0,0,1,127
73,24,41,94,0.511,12,25,0.68,132.0,0,1,119
74,22,43,93,0.495,10,29,0.655,129.0,0,1,124
75,12,45,87,0.402,14,16,0.813,105.0,0,1,88
76,28,38,92,0.467,14,25,0.76,106.0,0,1,115
77,31,36,84,0.512,12,18,0.833,124.0,1,1,118
78,17,39,74,0.486,13,28,0.714,125.0,0,1,106
79,21,44,81,0.481,19,22,0.773,93.0,1,1,103
80,27,48,83,0.506,17,16,0.875,84.0,0,1,105
81,18,34,87,0.483,10,14,0.786,58.0,0,1,102
